,ACCOUNT,SITE_ADDR_1_2019,SITE_ADDR_3_2019
479,140250000007,109 FARGO ST,77006
480,140260000001,2304 MASON ST,77006
481,140260000002,215 FARGO ST,77006
482,140260000011,2306 MASON ST,77006
483,140270000012,200 HYDE PARK BLVD,77006
484,140270000013,202 HYDE PARK BLVD,77006
485,140270000014,204 HYDE PARK BLVD,77006
486,140270000015,206 HYDE PARK BLVD,77006
487,140290000002,2508 GENESEE ST,77006
488,140290000006,2510 GENESEE ST,77006
489,140300000004,2520 MASON ST,77006
490,140530000013,310 FARGO ST,77006
491,140530000014,306 FARGO ST,77006
492,140530000015,302 FARGO ST,77006
493,140530000016,2224 TAFT ST,77006
494,140530000017,2220 TAFT ST,77006
495,140530000018,2216 TAFT ST,77006
496,140530000019,2212 TAFT ST,77006
497,140530000020,2208 TAFT ST,77006
498,140530000021,2204 TAFT ST,77006
499,140530000022,309 W DREW ST,77006
500,140530000023,305 W DREW ST,77006
501,140530000024,301 W DREW ST,77006
502,140530000025,322 FARGO ST,77006
503,140530000026,318 FARGO ST,77006
504,140530000027,314 FARGO ST,77006
505,140530000028,2219 MORGAN ST,77006
506,140530000029,2223 MORGAN ST,77006
507,140530000030,2227 MORGAN ST,77006
508,140530000031,2205 MORGAN ST,77006
509,140530000032,2209 MORGAN ST,77006
510,140530000033,2215 MORGAN ST,77006
511,140530000034,323 W DREW ST,77006
512,140530000035,319 W DREW ST,77006
513,140530000036,315 W DREW ST,77006
514,140540000003,303 FARGO ST,77006
515,140540000010,305 FARGO ST,77006
516,140540000012,307 FARGO ST,77006
517,140560000010,410 FARGO ST,77006
518,140570000005,2225 HOPKINS ST,77006
519,140570000007,515 W DREW ST,77006
520,140570000009,500 FARGO ST,77006
521,140570000010,510 FARGO ST,77006
522,140570000013,2227 HOPKINS ST,77006
523,140570000014,2223 HOPKINS ST,77006
524,140570000015,512 FARGO ST,77006
525,140580000001,504 FAIRVIEW AVE,77006
526,140580000003,2304 WHITNEY ST,77006
527,140580000004,503 FARGO ST,77006
528,140580000007,509 FARGO ST,77006
529,140580000011,515 FARGO ST,77006
530,140590000005,2315 STANFORD ST,77006
531,140590000007,615 FARGO ST,77006
532,140590000010,617 FARGO ST,77006
533,140590000011,2319 STANFORD ST,77006
534,140590000012,2317 STANFORD ST,77006
535,140610000001,2216 STANFORD ST,77006
536,140610000002,2214 STANFORD ST,77006
537,140610000008,719 W DREW ST,77006
538,140610000010,2210 STANFORD ST,77006
539,140610000011,715 W DREW ST,77006
540,140610000012,717 W DREW ST,77006
541,140610000013,721 W DREW ST,77006
542,140610000014,2203 CROCKER ST,77006
543,140610000015,2201 CROCKER ST,77006
544,140620000005,712 FAIRVIEW AVE,77006
545,140620000009,2310 STANFORD ST,77006
546,140620000012,713 FARGO ST,77006
547,140630000004,2304 CROCKER ST,77006
548,140650000002,2314 CONVERSE ST 1,77006
549,140650000003,2312 CONVERSE ST,77006
550,140680000010,815 FAIRVIEW AVE,77006
551,140680000011,815 FAIRVIEW AVE 5,77006
552,140680010001,802 HYDE PARK BLVD,77006
553,140680010002,804 HYDE PARK BLVD,77006
554,140680010003,806 HYDE PARK BLVD,77006
555,140680010004,808 HYDE PARK BLVD,77006
556,140690000001,704 HYDE PARK BLVD,77006
557,140690000003,2406 STANFORD ST,77006
558,140690000010,708 HYDE PARK BLVD,77006
559,140700000006,711 HYDE PARK BLVD,77006
560,140700000007,705 HYDE PARK BLVD,77006
561,140710000007,605 HYDE PARK BLVD,77006
562,140720000001,604 HYDE PARK BLVD,77006
563,140720000003,2404 HOPKINS ST,77006
564,140720000009,606 HYDE PARK BLVD,77006
565,140720000010,610 HYDE PARK BLVD,77006
566,140730000001,512 HYDE PARK BLVD,77006
567,140730000002,2414 WHITNEY ST,77006
568,140730000005,516 HYDE PARK BLVD,77006
569,140730000011,510 HYDE PARK BLVD,77006
570,140730000012,508 HYDE PARK BLVD,77006
571,140730000013,2412 WHITNEY ST,77006
572,140740000002,506 PACIFIC ST,77006
573,140740000005,2515 HOPKINS ST,77006
574,140740000007,2502 WHITNEY ST,77006
575,140740000009,2504 WHITNEY ST,77006
576,140750000005,2505 WHITNEY ST,77006
577,140750000007,409 HYDE PARK BLVD,77006
578,140750000008,401 HYDE PARK BLVD,77006
579,140760000001,408 HYDE PARK BLVD,77006
580,140760000006,2413 WHITNEY ST,77006
581,140760000007,2411 WHITNEY ST,77006
582,140770000012,311 FAIRVIEW AVE,77006
583,141450000015,3607 ALPHA ST,77019
584,141450000046,1105 GROSS ST,77019
585,141450000051,1115 GROSS ST,77019
586,141450000052,1117 GROSS ST,77019
587,141450000055,1203 GROSS ST,77019
588,141450000058,1202 GROSS ST,77019
589,141450000062,3711 NEWHOUSE ST,77019
590,141450000064,3715 NEWHOUSE ST,77019
591,141450000066,3719 NEWHOUSE ST,77019
592,141450000068,3803 NEWHOUSE ST,77019
593,141450000070,3807 NEWHOUSE ST,77019
594,141450000086,1205 GROSS ST,77019
595,141450000087,1111 GROSS ST,77019
596,141450000088,1113 GROSS ST,77019
597,141450000089,1107 GROSS ST,77019
598,141450000090,1109 GROSS ST,77019
599,141450000091,1119 GROSS ST,77019
600,141450000092,1201 GROSS ST,77019
601,141450000093,1101 GROSS ST,77019
602,141450000094,1103 GROSS ST,77019
603,141450000095,3805 NEWHOUSE ST,77019
604,141450000096,3713 NEWHOUSE ST,77019
605,141450000097,3717 NEWHOUSE ST,77019
606,141450000098,3721 NEWHOUSE ST,77019
608,141470010013,515 RICHMOND AVE,77006
609,141480000006,4322 JACK ST,77006
610,141480000009,4311 GREELEY ST,77006
611,141480000010,4309 GREELEY ST,77006
612,141480000011,4307 GREELEY ST,77006
613,141480000016,610 OAKLEY ST,77006
614,141490000002,4310 GREELEY ST,77006
615,141490000003,4312 GREELEY ST,77006
617,141490000005,4318 GREELEY ST,77006
618,141490000009,4317 STANFORD ST,77006
619,141490000010,4315 STANFORD ST,77006
620,141490000011,4311 STANFORD ST,77006
621,141490000016,706 OAKLEY ST,77006
622,141500000001,801 RICHMOND AVE,77006
623,141500000003,4310 STANFORD ST,77006
624,141500000016,811 RICHMOND AVE,77006
625,141540000002,4404 GREELEY ST,77006
626,141540000003,4406 GREELEY ST,77006
627,141540000004,4408 GREELEY ST,77006
628,141540000013,711 OAKLEY ST,77006
629,141550000007,4409 GREELEY ST,77006
630,141550000008,4407 GREELEY ST,77006
631,141550000009,4405 GREELEY ST,77006
632,141550000010,4401 GREELEY ST,77006
633,180010000002,1322 WESTHEIMER RD,77006
634,180030000013,2604 WAUGH DR,77006
635,180040000029,2618 COMMONWEALTH ST,77006
636,180040000030,1500 CALIFORNIA ST B,77006
637,180040000031,2626 COMMONWEALTH ST,77006
638,180040000032,2624 COMMONWEALTH ST,77006
639,180040000033,1500 CALIFORNIA ST,77006
640,180040000034,1502 CALIFORNIA ST,77006
641,180040000035,2620 COMMONWEALTH ST,77006
642,180040000036,2622 COMMONWEALTH ST,77006
643,180040000037,2616 COMMONWEALTH ST,77006
644,180050000002,1512 MISSOURI ST,77006
645,180060000003,1404 MISSOURI ST,77006
646,180060000004,1408 MISSOURI ST,77006
647,180060000006,1424 MISSOURI ST,77006
648,180060000008,2501 COMMONWEALTH ST,77006
649,180060000012,2503 COMMONWEALTH ST,77006
650,180060000014,2509 COMMONWEALTH ST,77006
651,180060000016,2507 COMMONWEALTH ST,77006
652,180060000017,2511 COMMONWEALTH ST,77006
653,180060000018,2522 WAUGH DR,77006
