,address,zip_code
549,1302 BANKS ST,77006
550,1302 HAROLD ST,77006
551,1302 HAWTHORNE ST,77006
552,1302 HYDE PARK BLVD,77006
553,1302 MARSHALL ST,77006
554,1302 MILFORD ST,77006
555,1302 PEDEN AVE,77006
556,1302 W DALLAS AVE,77019
557,1303 BOMAR ST,77006
558,1303 HYDE PARK BLVD,77006
559,1303 PEDEN ST,77006
560,1304 BOMAR ST,77006
561,1304 CASTLE COURT BLVD,77006
562,1304 CASTLE COURT BLVD A,77006
563,1304 HAWTHORNE ST,77006
564,1304 HYDE PARK BLVD,77006
565,1304 VASSAR ST,77006
566,1304 W DALLAS AVE,77019
567,1304 WELCH ST,77006
568,1304 WILLARD ST,77006
569,1305 HYDE PARK BLVD,77006
570,1305 KIPLING ST,77006
571,1305 PEDEN ST,77006
572,1305 SOUTH BLVD,77006
573,1305 WELCH ST,77006
574,1306 CASTLE COURT BLVD,77006
575,1306 CASTLE COURT BLVD A,77006
576,1306 CASTLE COURT BLVD B,77006
577,1306 FAIRVIEW AVE,77006
578,1306 HAWTHORNE ST,77006
579,1306 MARSHALL ST,77006
580,1306 MILFORD ST,77006
581,1306 W DALLAS AVE,77019
582,1306 WILLARD ST,77006
583,1307 BANKS ST,77006
584,1307 HAROLD ST,77006
585,1307 HYDE PARK BLVD,77006
586,1307 MARSHALL ST,77006
587,1308 BANKS ST,77006
588,1308 BOMAR ST,77006
589,1308 FAIRVIEW AVE,77006
590,1308 HAWTHORNE ST,77006
591,1308 PEDEN ST,77006
592,1308 VASSAR ST,77006
593,1308 W DALLAS AVE,77019
594,1308 WELCH ST,77006
595,1308 WILLARD ST,77006
596,1309 BOMAR ST,77006
597,1309 CASTLE CT,77006
598,1309 HAROLD ST,77006
599,1309 HYDE PARK BLVD,77006
600,1309 KIPLING ST,77006
601,1309 MARSHALL ST,77006
602,1309 NORTH BLVD,77006
603,1309 PEDEN ST,77006
604,1309 VASSAR ST,77006
605,1309 WILLARD ST,77006
606,1310 BOMAR ST,77006
607,1310 HAROLD ST 5,77006
608,1310 HAWTHORNE ST,77006
609,1310 KIPLING ST,77006
610,1310 MARSHALL ST,77006
611,1310 MILFORD ST,77006
612,1310 PEDEN ST,77006
613,1310 SOUTH BLVD,77006
614,1310 W DALLAS AVE,77019
615,1310 WILLARD ST,77006
616,1311 BANKS ST,77006
617,1311 BOMAR ST,77006
618,1311 CASTLE CT A,77006
619,1311 CASTLE CT B,77006
620,1311 CASTLE CT C,77006
621,1311 HAROLD ST,77006
622,1311 HYDE PARK BLVD,77006
623,1311 KIPLING ST,77006
624,1311 PEDEN ST,77006
625,1311 SOUTH BLVD,77006
626,1312 BOMAR ST,77006
627,1312 CASTLE CT,77006
628,1312 HAROLD ST 4,77006
629,1312 HAWTHORNE ST,77006
630,1312 PEDEN ST,77006
631,1312 VASSAR ST,77006
632,1312 W DALLAS AVE,77019
633,1312 WELCH ST,77006
634,1312 WILLARD ST,77006
635,1313 BOMAR ST,77006
636,1313 HAROLD ST,77006
637,1313 VASSAR ST,77006
638,1313 WILLARD ST,77006
639,1314 BANKS ST,77006
640,1314 BOMAR ST,77006
641,1314 CASTLE CT,77006
642,1314 FAIRVIEW AVE,77006
643,1314 HAROLD ST 3,77006
644,1314 HAWTHORNE ST,77006
645,1314 MILFORD ST,77006
646,1314 NORTH BLVD,77006
647,1314 PEDEN ST,77006
648,1314 SOUTH BLVD,77006
649,1314 W DALLAS AVE,77019
650,1314 WELCH ST,77006
651,1314 WELCH ST A,77006
652,1314 WILLARD ST,77006
653,1315 BANKS ST,77006
654,1315 CASTLE CT,77006
655,1315 HAROLD ST,77006
656,1315 HYDE PARK BLVD,77006
657,1315 MILFORD ST,77006
658,1315 PEDEN ST,77006
659,1315 WILLARD ST,77006
660,1316 BOMAR ST,77006
661,1316 CASTLE CT,77006
662,1316 CLEVELAND ST A & B,77019
663,1316 CLEVELAND ST C & D,77019
664,1316 FAIRVIEW AVE,77006
665,1316 HAROLD ST 2,77006
666,1316 PEDEN ST,77006
667,1316 VASSAR ST,77006
668,1316 W ALABAMA ST,77006
669,1316 W DALLAS AVE,77019
670,1316 WELCH ST,77006
671,1316 WILLARD ST,77006
672,1317 BOMAR ST,77006
673,1317 CASTLE CT,77006
674,1317 KIPLING ST,77006
675,1317 NORTH BLVD,77006
676,1317 PEDEN ST,77006
677,1317 VASSAR ST,77006
678,1317 WILLARD ST,77006
679,1318 CASTLE CT,77006
680,1318 FAIRVIEW AVE,77006
681,1318 HAROLD ST,77006
682,1318 KIPLING ST,77006
683,1318 MARSHALL ST,77006
684,1318 NORTH BLVD,77006
685,1318 PEDEN ST A,77006
686,1318 PEDEN ST B,77006
687,1318 PEDEN ST C,77006
688,1318 PEDEN ST D,77006
689,1318 W DALLAS AVE,77019
690,1318 WELCH ST,77006
691,1319 BANKS ST,77006
692,1319 BOMAR ST,77006
693,1319 CASTLE CT,77006
694,1319 HAWTHORNE ST,77006
695,1319 HYDE PARK BLVD,77006
696,1319 W ALABAMA ST,77006
697,1319 WILLARD ST,77006
698,132 OAK PL,77006
699,1320 BANKS ST,77006
700,1320 CASTLE CT,77006
701,1320 HAWTHORNE ST,77006
702,1320 MILFORD ST,77006
703,1320 VASSAR ST,77006
704,1320 W DALLAS AVE,77019
705,1320 WELCH ST,77006
706,1321 BOMAR ST,77006
707,1321 CASTLE CT,77006
708,1321 HYDE PARK BLVD,77006
709,1321 VASSAR ST,77006
710,1321 WILLARD ST,77006
711,1322 CASTLE CT,77006
712,1322 FAIRVIEW AVE,77006
713,1322 VASSAR ST,77006
714,1322 W DALLAS AVE,77019
715,1322 WESTHEIMER RD,77006
716,1323 BOMAR ST,77006
717,1323 CASTLE CT,77006
718,1323 HAWTHORNE ST,77006
719,1323 HYDE PARK BLVD,77006
720,1323 NORTH BLVD,77006
721,1323 SOUTH BLVD,77006
722,1323 VASSAR ST,77006
723,1324 BANKS ST,77006
724,1324 CASTLE CT,77006
725,1324 FAIRVIEW AVE,77006
726,1324 HYDE PARK DR,77006
727,1324 NORTH BLVD,77006
728,1324 SOUTH BLVD,77006
729,1324 W DALLAS AVE,77019
730,1324 WILLARD ST,77006
731,1325 BOMAR ST,77006
732,1325 CASTLE CT,77006
733,1325 HYDE PARK BLVD,77006
734,1325 MILFORD ST,77006
735,1326 CASTLE CT,77006
736,1326 FAIRVIEW AVE,77006
737,1326 MILFORD ST,77006
738,1326 VASSAR ST,77006
739,1326 WILLARD ST,77006
740,1327 BOMAR ST,77006
741,1327 CASTLE CT,77006
742,1327 HAWTHORNE ST,77006
743,1327 HYDE PARK BLVD,77006
744,1327 VASSAR ST,77006
745,1328 CASTLE CT,77006
746,1328 FAIRVIEW AVE,77006
747,1328 WILLARD ST,77006
748,1329 BOMAR ST,77006
749,1329 HYDE PARK BLVD,77006
750,1330 FAIRVIEW AVE,77006
751,1330 VASSAR ST,77006
752,1330 WILLARD ST,77006
753,1331 BANKS ST,77006
754,1331 BOMAR ST,77006
755,1331 FAIRVIEW AVE,77006
756,1331 HYDE PARK BLVD,77006
757,1331 MILFORD ST,77006
758,1331 VASSAR ST,77006
759,1332 BANKS ST,77006
760,1332 FAIRVIEW AVE,77006
761,1332 MILFORD ST,77006
762,1332 WILLARD ST,77006
763,1333 BOMAR ST,77006
764,1333 FAIRVIEW AVE,77006
765,1333 HYDE PARK BLVD,77006
766,1334 FAIRVIEW AVE,77006
767,1334 WILLARD ST,77006
768,1335 FAIRVIEW AVE,77006
769,1335 HYDE PARK BLVD,77006
770,1335 VASSAR ST,77006
771,1336 FAIRVIEW AVE,77006
772,1336 VASSAR ST,77006
773,1336 WILLARD ST,77006
774,1337 HYDE PARK BLVD,77006
775,1338 BANKS ST,77006
776,1338 FAIRVIEW AVE,77006
777,1338 MILFORD ST,77006
778,134 OAK PL,77006
779,1340 FAIRVIEW AVE,77006
780,1341 PEDEN ST,77006
781,136 OAK PL,77006
782,138 OAK PL,77006
783,14 COURTLANDT PL,77006
784,14 SOUTHSIDE CIR,77025
785,140 OAK PL,77006
786,1400 CASTLE CT,77006
787,1400 HAROLD ST,77006
788,1400 HAWTHORNE ST,77006
789,1400 KIPLING ST,77006
790,1400 MARYLAND ST,77006
791,1400 SOUTH BLVD,77006
792,1401 BRANARD ST,77006
793,1401 FAIRVIEW AVE B,77006
794,1401 FAIRVIEW AVE C,77006
795,1401 HYDE PARK BLVD,77006
796,1401 MARYLAND ST,77006
797,1401 VASSAR ST,77006
798,1401 VERMONT ST,77006
799,1401 W WEBSTER ST,77006
800,1402 BANKS ST,77006
801,1402 BONNIE BRAE ST,77006
802,1402 CASTLE CT,77006
803,1402 COOK ST,77006
804,1402 HAROLD ST,77006
805,1402 MARSHALL ST,77006
806,1402 MILFORD ST,77006
807,1402 VASSAR ST,77006
808,1403 BANKS ST,77006
809,1403 BONNIE BRAE ST,77006
810,1403 COOK ST,77006
811,1403 FAIRVIEW AVE,77006
812,1403 HYDE PARK BLVD,77006
